ID,display,description,color,index,category,db_value,order_index,sort_factor,user_index,member_index,account_index,product_index,order_payment_index,order_delivery_index,commitment_index,deleted
"bTRIN","Draft","Saved but not yet sent","rgba(180,180, 217, 0.5)","1","Confirmation","framify1","1","1","","","","","","","",""
"bTRIO","Pending","Awaiting confirmation","rgba(173,216,230,0.5)","2","Confirmation","framify2","","2","1","1","1","1","1","1","",""
"bTRIP","Sent","Proposal has been sent to third party","rgba(173,216,230,0.5)","3","Confirmation","framify3","3","3","","","","","","","",""
"bTRIT","Received","Proposal has been received from third party","rgba(246,211,36,0.5)","4","Confirmation","framify4","4","4","","","","","","","",""
"bTRIU","Confirmed","Accepted/signed by both parties","rgba(137, 221, 51, 0.55)","5","Confirmation","framify5","5","5","","","","","","","",""
"bTRIV","Modified","Modified by either / both parties","rgba(255,215,0,0.5)","6","Confirmation","framify6","","6","","","","","","","",""
"bTRIZ","On hold","Suspended by either / both parties","rgba(225, 38, 210, 0.4)","7","Confirmation","framify7","7","7","","","","","","2","",""
"bTRIa","Active","Active","rgba(141,221,173,0.5)","8","Confirmation","framify8","","8","2","1","2","2","","","1",""
"bTRIb","Ready to start","Delivery is read to start","rgba(141,221,173,0.5)","20","Delivery","framify9","","9","","","","","","20","",""
"bTRIf","Started","Delivery has started by supplier","rgba(141,221,173,0.5)","21","Delivery","framify10","","10","","","","","","21","",""
"bTRIg","Completed","Delivery has been completed by supplier","rgba(173, 221, 192, 0.82)","22","Delivery","framify11","","11","","","","","","22","",""
"bTRIh","Accepted","Delivery has been accepted by client","rgba(173, 255, 250, 0.55)","23","Delivery","framify12","","12","","","","","1","23","",""
"bTRIl","Pending amount","The due amount is not yet known","rgba(230, 213, 151, 0.5)","24","Payment","framify13","","13","","","","","","","",""
"bTRIm","Pending due date","The due amount is known, but the due date is not yet known","rgba(92,172,238,0.5)","31","Payment","framify14","","14","","","","","31","","",""
"bTRIn","No due date","The due amount is known, but no due date applies (equity)","rgba(92,172,238,0.5)","32","Payment","framify15","","15","","","","","32","","",""
"bTRIr","Scheduled","Due amount and due date are both known","rgba(92,172,238,0.5)","33","Payment","framify16","","16","","","","","33","","",""
"bTRIs","Upcoming","Due date is less than 30 days await","rgba(255,215,0,0.5)","34","Payment","framify17","","17","","","","","34","","",""
"bTRIt","Overdue","Due date has passed, and amount due has not yet been paid","rgba(255,69,0,0.5)","35","Payment","framify18","","18","","","","","35","","",""
"bTRIx","Resolved","Has been resolved, but the payable amount is 0","rgba(173,216,230,0.5)","36","Payment","framify19","","19","","","","","36","","2",""
"bTRIy","Payable","Has been resolved and a payable amount has been calculated","rgba(173,216,230,0.5)","37","Payment","framify20","","20","","","","","37","","",""
"bTRIz","Partially paid","Payable amount has been partially paid","rgba(205,220,57,0.5)","38","Payment","framify21","","21","","","","","38","","",""
"bTRJD","Paid","Payable amount has been fully paid","rgba(0,128,0,0.5)","39","Payment","framify22","","22","","","","","39","","",""
"bTRJE","Template","Used as a template to create new records","rgba(48,48,255,48)","80","Special","framify23","","23","","","28","","","","",""
"bTRJF","Archived","No longer to be shown","rgba(128, 128, 128, 0.66)","81","Special","framify24","","24","","","","5","","","","true"
"bTRJJ","Cancelled","Cancelled by either / both parties","rgba(191,191,191,0.5)","90","Cancelled","framify25","7","25","","","","","","24","4",""
"bTRJK","Suspended","Suspended by the system","rgba(224,73,128,0.5)","91","Cancelled","framify26","8","26","3","1","3","4","","25","",""
"bTRJL","Closed","Closed by the user","rgba(191,191,191,0.5)","92","Cancelled","framify27","","27","4","1","4","","","","",""
"bTRJP","Retracted","Proposal has been retracted by its creator","rgba(204, 199, 192, 0.36)","93","Cancelled","framify28","10","28","","","","","","","",""
"bTRJQ","Rejected","Proposal has been rejected by its recipient","rgba(217, 83, 79, 0.44)","94","Cancelled","framify29","11","29","","","","","","","",""
"bTRJR","Expired","No longer valid/active","rgba(191,191,191,0.5)","95","Cancelled","framify30","","30","","","","3","","","",""
"bTRJV","","","","","","framify31","","31","","","","","","","","true"
"0nMmtI","Test 1","mkiqsdjfmsdqlkjsqdmlf","sdddfgfdsg","","Special","","45","","45","78","65","65","","","65","true"
"bTTqV0","Local","","","","","local","","32","","","","","","","",""
"i0XTYM","Reservation","Delivery has been completed by supplier, and the client has raised some reservations.","rgba(230, 157, 151, 0.5)","96","","","","","","","","","","5","",""
"tPmf2Q","Test 5","fgdhdfgfg","Color has changed","","New one","","4589","","45","99","89","89","","","8","true"